datapath_id,ip_src,tp_src,ip_dst,tp_dst,ip_proto,icmp_code,icmp_type,flow_duration_sec,flags,packet_count,byte_count,packet_count_per_second,packet_count_per_nanosec,byte_count_per_second,label
1,159.82.199.7,1264,10.0.0.2,80,17,0,0,28,0,0,0,0,0,0.0,1
1,160.17.86.25,1322,10.0.0.2,80,17,0,0,22,0,0,0,0,0,0.0,1
1,160.204.76.148,1314,10.0.0.2,80,17,0,0,23,0,0,0,0,0,0.0,1
1,160.37.137.77,1089,10.0.0.2,80,17,0,0,46,0,0,0,0,0,0.0,1
1,161102117240,1244,10.0.0.2,80,17,0,0,30,0,0,0,0,0,0.0,1
1,161.159.73.100,1330,10.0.0.2,80,17,0,0,21,0,0,0,0,0,0.0,1
1,161.23.112.174,1128,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,161.247.192.63,1178,10.0.0.2,80,17,0,0,37,0,0,0,0,0,0.0,1
1,162123163107,1163,10.0.0.2,80,17,0,0,38,0,0,0,0,0,0.0,1
1,162.43.174.1,1224,10.0.0.2,80,17,0,0,32,0,0,0,0,0,0.0,1
1,163.128.129.64,1392,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,163153177107,1269,10.0.0.2,80,17,0,0,28,0,0,0,0,0,0.0,1
1,163.18.30.233,1288,10.0.0.2,80,17,0,0,26,0,0,0,0,0,0.0,1
1,165117107149,1210,10.0.0.2,80,17,0,0,33,0,0,0,0,0,0.0,1
1,165.130.119.42,1110,10.0.0.2,80,17,0,0,44,0,0,0,0,0,0.0,1
1,165234250169,1177,10.0.0.2,80,17,0,0,37,0,0,0,0,0,0.0,1
1,165.237.102.85,1225,10.0.0.2,80,17,0,0,32,0,0,0,0,0,0.0,1
1,165.240.21.187,1311,10.0.0.2,80,17,0,0,23,0,0,0,0,0,0.0,1
1,165.59.40.224,1233,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
1,165.91.135.180,1300,10.0.0.2,80,17,0,0,24,0,0,0,0,0,0.0,1
1,166138130231,1236,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
1,166.60.41.135,1103,10.0.0.2,80,17,0,0,44,0,0,0,0,0,0.0,1
1,167.85.114.234,1153,10.0.0.2,80,17,0,0,39,0,0,0,0,0,0.0,1
1,169.82.100.203,1372,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,17.53.73.136,1358,10.0.0.2,80,17,0,0,19,0,0,0,0,0,0.0,1
1,177.158.41.137,1126,10.0.0.2,80,17,0,0,42,0,0,0,0,0,0.0,1
1,177.19.100.177,1133,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,177.58.137.79,1325,10.0.0.2,80,17,0,0,22,0,0,0,0,0,0.0,1
1,177.76.249.249,1373,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,18.145.49.248,1230,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
1,18.239.63.211,1374,10.0.0.2,80,17,0,0,17,0,0,0,0,0,0.0,1
1,18.42.137.52,1200,10.0.0.2,80,17,0,0,34,0,0,0,0,0,0.0,1
1,180.231.4.0,1150,10.0.0.2,80,17,0,0,39,0,0,0,0,0,0.0,1
1,181.100.247.84,1096,10.0.0.2,80,17,0,0,45,0,0,0,0,0,0.0,1
1,184.13.104.249,1095,10.0.0.2,80,17,0,0,45,0,0,0,0,0,0.0,1
1,184.53.114.215,1317,10.0.0.2,80,17,0,0,23,0,0,0,0,0,0.0,1
1,187.112.144.13,1203,10.0.0.2,80,17,0,0,34,0,0,0,0,0,0.0,1
1,187154224159,1342,10.0.0.2,80,17,0,0,20,0,0,0,0,0,0.0,1
1,187.37.165.0,1391,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,188.33.85.130,1175,10.0.0.2,80,17,0,0,37,0,0,0,0,0,0.0,1
1,19.248.59.78,1258,10.0.0.2,80,17,0,0,29,0,0,0,0,0,0.0,1
1,19.98.23.134,1138,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,190.103.73.93,1388,10.0.0.2,80,17,0,0,16,0,0,0,0,0,0.0,1
1,190248196146,1165,10.0.0.2,80,17,0,0,38,0,0,0,0,0,0.0,1
1,190.37.28.9,1185,10.0.0.2,80,17,0,0,36,0,0,0,0,0,0.0,1
1,191153246224,1387,10.0.0.2,80,17,0,0,16,0,0,0,0,0,0.0,1
1,191202145145,1147,10.0.0.2,80,17,0,0,40,0,0,0,0,0,0.0,1
1,191.65.123.192,1285,10.0.0.2,80,17,0,0,26,0,0,0,0,0,0.0,1
1,191.73.202.196,1263,10.0.0.2,80,17,0,0,28,0,0,0,0,0,0.0,1
1,191.90.99.117,1139,10.0.0.2,80,17,0,0,41,0,0,0,0,0,0.0,1
1,192233135107,1260,10.0.0.2,80,17,0,0,28,0,0,0,0,0,0.0,1
1,192.59.4.114,1394,10.0.0.2,80,17,0,0,15,0,0,0,0,0,0.0,1
1,196.85.114.144,1251,10.0.0.2,80,17,0,0,29,0,0,0,0,0,0.0,1
1,198169174203,1239,10.0.0.2,80,17,0,0,31,0,0,0,0,0,0.0,1
